repo,index,rule_path,rule_name,llm_tier,automated_tier,agree,direction
elastic,1,thirdparty/elastic-detection-rules/rules\promotions\endgame_malware_detected.toml,Malware - Detected - Elastic Endgame,Artifact,Artifact,True,agree
elastic,2,thirdparty/elastic-detection-rules/rules\integrations\aws\impact_kms_imported_key_material_deleted.toml,AWS KMS Imported Key Material Deleted,TTP,TTP,True,agree
elastic,3,thirdparty/elastic-detection-rules/rules\cross-platform\discovery_virtual_machine_fingerprinting_grep.toml,Virtual Machine Fingerprinting via Grep,Tool,Artifact,False,auto_under_scores
elastic,4,thirdparty/elastic-detection-rules/rules\windows\defense_evasion_obf_args_unicode_modified_letters.toml,Command Obfuscation via Unicode Modifier Letters,Tool,Tool,True,agree
elastic,5,thirdparty/elastic-detection-rules/rules\integrations\gcp\impact_gcp_gke_coredns_or_kube_dns_configuration_modified.toml,GKE CoreDNS or Kube-DNS Configuration Modified,TTP,TTP,True,agree
elastic,6,thirdparty/elastic-detection-rules/rules\integrations\cloud_defend\persistence_modification_of_persistence_relevant_files.toml,Modification of Persistence Relevant Files Detected via Defend for Containers,TTP,Artifact,False,auto_under_scores
elastic,7,thirdparty/elastic-detection-rules/rules\integrations\azure\resource_development_entra_id_custom_domain_added_and_verified.toml,Entra ID Custom Domain Added or Verified,TTP,TTP,True,agree
elastic,8,thirdparty/elastic-detection-rules/rules\integrations\aws\persistence_rds_instance_made_public.toml,AWS RDS DB Instance Made Public,TTP,TTP,True,agree
elastic,9,thirdparty/elastic-detection-rules/rules\windows\defense_evasion_modify_ownership_os_files.toml,System File Ownership Change,Tool,Tool,True,agree
elastic,10,thirdparty/elastic-detection-rules/rules\integrations\aws\exfiltration_sns_rare_protocol_subscription_by_user.toml,AWS SNS Rare Protocol Subscription by User,TTP,TTP,True,agree
elastic,11,thirdparty/elastic-detection-rules/rules\windows\credential_access_cmdline_dump_tool.toml,Potential Credential Access via Windows Utilities,Tool,Tool,True,agree
elastic,12,thirdparty/elastic-detection-rules/rules\windows\defense_evasion_network_connection_from_windows_binary.toml,Unusual Network Activity from a Windows System Binary,Tool,Tool,True,agree
elastic,13,thirdparty/elastic-detection-rules/rules\linux\privilege_escalation_gdb_sys_ptrace_netcon.toml,Root Network Connection via GDB CAP_SYS_PTRACE,Tool,Artifact,False,auto_under_scores
elastic,14,thirdparty/elastic-detection-rules/rules\integrations\aws\discovery_new_terms_sts_getcalleridentity_ec2_role_new_source_as.toml,AWS EC2 Role GetCallerIdentity from New Source AS Organization,TTP,TTP,True,agree
elastic,15,thirdparty/elastic-detection-rules/rules\macos\lateral_movement_mounting_smb_share.toml,Attempt to Mount SMB Share via Command Line,Tool,Artifact,False,auto_under_scores
elastic,16,thirdparty/elastic-detection-rules/rules\linux\defense_evasion_hex_payload_execution_via_commandline.toml,Potential Hex Payload Execution via Command-Line,Artifact,Artifact,True,agree
elastic,17,thirdparty/elastic-detection-rules/rules\cross-platform\execution_nodejs_pre_or_post_install_script_execution.toml,Node.js Pre or Post-Install Script Execution,Tool,Artifact,False,auto_under_scores
elastic,18,thirdparty/elastic-detection-rules/rules\cross-platform\execution_d4c_k8s_mda_kubernetes_api_activity_by_unusual_utilities.toml,Direct Interactive Kubernetes API Request by Unusual Utilities,TTP,TTP,True,agree
elastic,19,thirdparty/elastic-detection-rules/rules\integrations\aws\execution_lambda_layer_shared_externally.toml,AWS Lambda Layer Shared Externally,TTP,TTP,True,agree
elastic,20,thirdparty/elastic-detection-rules/rules\integrations\azure\persistence_entra_id_user_added_as_owner_for_azure_application.toml,Entra ID User Added as Registered Application Owner,TTP,TTP,True,agree
elastic,21,thirdparty/elastic-detection-rules/rules\integrations\cloud_defend\defense_evasion_potential_evasion_via_encoded_payload.toml,Encoded Payload Detected via Defend for Containers,Tool,Artifact,False,auto_under_scores
elastic,22,thirdparty/elastic-detection-rules/rules\linux\persistence_kernel_driver_load.toml,Kernel Driver Load,TTP,Artifact,False,auto_under_scores
elastic,23,thirdparty/elastic-detection-rules/rules\macos\persistence_manual_chromium_extension_loading.toml,Manual Loading of a Suspicious Chromium Extension,Tool,Artifact,False,auto_under_scores
elastic,24,thirdparty/elastic-detection-rules/rules\cross-platform\execution_aws_ec2_lolbin_via_ssm.toml,AWS EC2 LOLBin Execution via SSM SendCommand,TTP,TTP,True,agree
elastic,25,thirdparty/elastic-detection-rules/rules\linux\privilege_escalation_unshare_namespace_manipulation.toml,Namespace Manipulation Using Unshare,Tool,Tool,True,agree
elastic,26,thirdparty/elastic-detection-rules/rules\integrations\azure\initial_access_entra_id_protection_confirmed_compromise.toml,Entra ID Protection Admin Confirmed Compromise,TTP,Artifact,False,auto_under_scores
elastic,27,thirdparty/elastic-detection-rules/rules\windows\defense_evasion_disable_nla.toml,Network-Level Authentication (NLA) Disabled,TTP,Tool,False,auto_under_scores
elastic,28,thirdparty/elastic-detection-rules/rules\threat_intel\threat_intel_indicator_match_address.toml,Threat Intel IP Address Indicator Match,IOC,Artifact,False,auto_over_scores
elastic,29,thirdparty/elastic-detection-rules/rules\windows\credential_access_spn_attribute_modified.toml,User account exposed to Kerberoasting,TTP,Artifact,False,auto_under_scores
elastic,30,thirdparty/elastic-detection-rules/rules\linux\defense_evasion_dynamic_linker_file_creation.toml,Dynamic Linker Creation,TTP,Artifact,False,auto_under_scores
splunk,1,thirdparty/splunk-security-content/detections\cloud\risk_rule_for_dev_sec_ops_by_repository.yml,Risk Rule for Dev Sec Ops by Repository,Artifact,Artifact,True,agree
splunk,2,thirdparty/splunk-security-content/detections\application\okta_new_api_token_created.yml,Okta New API Token Created,TTP,Artifact,False,auto_under_scores
